日,ひ、か、にち、じつ
装,よそお、よそおう、そう、しょう
医,、い
週,、しゅう
異,こと、ことなる、い
姿,すがた、し
林,はやし、りん
製,、せい
願,ねが、ねがう、がん
丸,まる、まるい、まるめる、がん
許,ゆる、ゆるす、ゆるし、きょ
収,おさ、おさめる、おさまる、しゅう
証,、しょう
港,みなと、こう
率,ひきいる、ひき、そつ、りつ
蔵,くら、ぞう
羽,は、わ、はね、う
温,あたた、あたたか、あたたかい、あたたまる、あたためる、おん
省,かえり、かえりみる、はぶ、はぶく、せい、しょう
草,くさ、そう
百,、ひゃく
坂,さか、はん
宅,、たく
陸,、りく
血,ち、けつ
堂,、どう
服,、ふく
敗,やぶれる、やぶ、はい
系,、けい
労,、ろう
精,、せい、しょう
響,ひび、ひびく、ひびき、ひびかす、きょう
祭,まつる、まつり、さい
豊,ゆた、ゆたか、ほう
普,、ふ
規,、き
苦,くる、にが、くるしい、くるしむ、くるしめる、にがい、にがる、く
展,、てん
徳,、とく
夢,ゆめ、む
賀,、が
防,ふせ、ふせぐ、ぼう
昭,、しょう
七,なな、なの、ななつ、しち
永,なが、ながい、えい
散,ち、ちる、ちらす、ちらかす、ちらかる、ちらばる、ちらばす、さん
丁,、ちょう、てい
我,われ、わ、が
減,へ、へる、へらす、げん
景,、けい
晴,は、はれる、はれ、はらす、せい
並,なみ、な、ならべる、なら、ならぶ、ならびに、ならび、へい
軽,かる、かるい、かろ、かろやかな、けい
背,せ、せい、そむく、そむける、はい
賞,、しょう
評,、ひょう
余,あま、あまり、あまる、あます、よ
端,はし、は、はた、たん
緒,お、しょ、ちょ
弁,、べん
倉,くら、そう
盛,も、さか、もる、さかん、さかんな、せい、じょう
給,、きゅう
午,、ご
模,、も、ぼ
焼,や、やく、やき、やける、しょう
協,、きょう
司,、し
喜,よろこ、よろこぶ、よろこび、よろこばす、き
疑,うたが、うたがう、うたがい、ぎ
池,いけ、ち
飲,の、のむ、いん
貴,たっと、とうと、たっとい、とうとい、き
角,かど、つの、かく
街,まち、がい、かい
便,たより、たよ、びん、べん
列,、れつ
曜,、よう
健,すこ、すこやかな、けん
劇,、げき
泉,いずみ、せん
衆,、しゅう、しゅ
換,かえる、かわる、か、かん
領,、りょう
肉,、にく
仲,なか、ちゅう
掛,か、かける、かけ、かかる、かかり、
境,さかい、きょう、けい
陽,ひ、よう
央,、おう
戻,もど、もどす、もどる、れい
爆,、ばく
訳,わけ、やく
留,と、とど、とめる、とまる、とどまる、とどめる、りゅう、る
印,しるし、いん
途,、と
編,あ、あむ、あみ、へん
具,、ぐ
推,お、おす、すい
薬,くすり、やく
攻,せめる、せ、こう
宇,、う
板,いた、はん、ばん
杯,さかずき、はい
激,はげ、はげしい、げき
輪,わ、りん
超,こ、こえる、こす、ちょう
節,ふし、せつ、せち
練,ね、ねる、ねり、れん
授,さず、 さずける、さずかる、じゅ
岸,きし、がん
枚,、まい
寝,ね、ねる、ねかす、ねかせる、しん
群,む、むら、むれる、むれ、むらがる、ぐん
専,もっぱら、もっぱ、せん
探,さぐ、さが、さぐる、さがす、たん
痛,いた、いたい、いたむ、いたましい、いためる、いたみ、つう
布,ぬの、ふ
裏,うら、り
囲,かこ、かこむ、かこう、かこい、い
片,かた、へん
茶,、ちゃ、さ
息,いき、そく
婚,、こん
飯,めし、はん
老,お、おいる、ふ、ふける、ろう
敵,かたき、てき
答,こた、こたえ、こたえる、とう
逃,に、のが、にげる、にがす、のがす、のがれる、とう
照,て、てる、てらす、てれる、しょう
就,つ、つく、しゅう、じゅ
倒,たおれる、たおす、たお、とう
恐,おそれる、おそる、おそろしい、おそ、きょう
押,お、おす、おさえる、おう
亡,な、ない、なき、なくす、なくなる、ぼう、もう
僕,、ぼく
吹,ふ、ふく、すい
絵,、かい、え
雪,ゆき、せつ
紀,、き
競,きそう、せる、きそ、せ、きょう、けい
積,つ、つむ、つもる、つもり、せき
幕,、まく、ばく
罪,つみ、ざい
候,そうろう、こう
短,みじか、みじかい、たん
似,にる、に、じ
伸,の、のびる、のばす、しん
昨,、さく
雑,、ざつ、ぞう
導,みちび、みちびく、みちびき、どう
標,、ひょう
危,あぶ、あや、あぶない、あやうい、あやぶむ、あやうく、き
管,くだ、かん
費,つい、ついやす、ひ
兄,あに、けい、きょう
妻,つま、さい
捕,と、つか、とらえる、とらわれる、とる、つかまえる、つかまる、ほ
恋,こ、こう、こい、こいしい、こいする、れん
冷,つめ、ひ、さ、つめたい、ひえる、ひや、ひややか、ひやす、ひやかす、さめる、さます、れい
仮,かり、かりに、か、け
適,、てき
札,ふだ、さつ
毛,け、もう
講,、こう
策,、さく
竹,たけ、ちく
傷,きず、いた、いたむ、いためる、しょう
従,したが、したがう、したがえる、じゅう、しょう、じゅ
材,、ざい
刻,きざ、きざむ、きざみ、こく
述,の、のべる、じゅつ
皆,みな、かい
整,ととの、ととのえる、ととのう、せい
算,、さん
樹,、じゅ
略,、りゃく
遺,、い、ゆい
弟,おとうと、てい、だい、で
逆,さか、さかさ、さからう、ぎゃく
夕,ゆう、せき
停,、てい
娘,むすめ、
奥,おく、おう
域,、いき
属,、ぞく
依,、い、え
皇,、こう、おう
財,、ざい、さい
課,、か
企,くわだ、くわだてる、き
担,かつ、かつぐ、にな、になう、たん
迎,むか、むかえる、げい
浮,う、うく、うかれる、うかぶ、うかべる、ふ
因,よる、よ、いん
暴,あば、あばく、あばれる、ぼう、ばく
農,、のう
折,お、おる、おり、おれる、せつ
華,はな、はなやかな、か、け
延,のびる、のべる、のべ、のばす、の、えん
訪,おとずれる、たずねる、おとず、たず、ほう
密,、みつ
善,よ、よい、ぜん
快,こころよ、こころよい、こころよさ、かい
腹,はら、ふく
聖,、せい
染,そ、し、そめる、ぞめ、そまる、しみる、しみ、せん
郡,、ぐん
養,やしな、やしなう、よう
圧,、あつ
弾,ひ、ひく、ひき、はず、はずむ、たま、だん
跡,あと、せき
庭,にわ、てい
徒,、と
順,、じゅん
婦,、ふ
補,おぎな、おぎなう、ほ
描,えが、えがく、びょう
欲,ほ、ほっする、ほしい、よく
勤,つと、つとめる、つとまる、きん、ごん
純,、じゅん
筋,すじ、きん
雲,くも、うん
遅,おく、おそ、おくれる、おくらす、おそい、おそく、ち
季,、き
創,、そう
諸,、しょ
障,さわ、さわる、しょう
骨,ほね、こつ
般,、はん
含,ふく、ふくむ、ふくみ、ふくめる、がん
嫌,きら、きらう、きらい、いや、いやがる、けん
辞,や、やめる、じ
梅,うめ、ばい
底,そこ、てい
旧,、きゅう
替,か、かわる、かえる、たい
険,けわ、けわしい、けん
射,い、いる、さ、さす、しゃ
委,、い
乱,みだ、みだれる、みだす、みだれ、らん
典,、てん
脱,ぬ、ぬぐ、ぬげる、だつ
郷,、きょう、ごう
裁,た、さば、たつ、さばく、さい
黄,き、こ、こう、おう
隣,とな、となり、りん
額,ひたい、がく
仏,ほとけ、ぶつ
犯,おか、おかす、はん
怪,あや、あやしい、あやしむ、かい、け
油,あぶら、ゆ
避,さ、さける、ひ
忘,わす、わすれる、ぼう
弱,よわい、よわる、よわまる、よわめる、よわ、じゃく
効,き、きく、こう
困,こま、こまる、こん
宗,、しゅう、そう
魚,うお、さかな、ぎょ
払,はら、はらう、はらい、ふつ
植,う、うえる、うわる、しょく
荒,あら、あ、あらい、あらす、あれる、こう
髪,かみ、はつ
衣,ころも、い
舎,、しゃ
充,あ、あてる、じゅう
湯,ゆ、とう
希,、き
令,、れい
矢,や、し
暗,くら、くらい、くらさ、あん
礼,、れい、らい
章,、しょう
筆,ふで、ひつ
株,かぶ、
栄,さか、さかえる、は、はえる、えい
宝,たから、ほう
眠,ねむ、ねむい、ねむる、みん
康,、こう
悲,かな、かなしい、かなしむ、かなしさ、かなしみ、ひ
倍,、ばい
抱,だ、いだ、かか、だく、いだく、かかえる、ほう
腕,うで、わん
混,ま、まじる、まじり、まざる、まぜる、こん
犬,いぬ、けん
納,おさ、 おさめる、おさまる、のう、なつ、な、なん、とう
姉,あね、し
否,いな、ひ
殿,との、でん、てん
迷,まよ、まよう、まよい、めい
固,かた、かためる、かたまる、かたまり、かたい、こ
閉,と、とじる、とざす、し、しめる、しまる、へい
覧,、らん
著,あらわす、いちじるしい、あらわ、いちじる、ちょ
浅,あさ、あさい、せん
束,たば、たばねる、そく
拡,、かく
災,わざわ、わざわい、さい
眼,まなこ、がん、げん
卒,、そつ
厳,おごそか、きびしい、おごそ、きび、げん、ごん
革,かわ、かく
救,すく、すくう、きゅう
禁,、きん
鳴,な、なく、なる、ならす、めい
頂,いただ、いただく、いただき、ちょう
承,うけたまわ、うけたまわる、しょう
幹,みき、かん
厚,あつ、あつい、こう
暮,く、くれる、くらす、ぼ
泣,な、なく、きゅう
税,、ぜい
壊,こわ、こわす、こわれる、かい
至,いた、いたる、し
誌,、し
触,ふ、さわ、ふれる、さわる、しょく
秘,ひ、ひめる、ひ
到,いた、いたる、とう
功,、こう、く
互,たが、たがい、ご
巨,、きょ
謝,あやまる、あやま、しゃ
航,、こう
砂,すな、さ、しゃ
荷,に、か
冬,ふゆ、とう
寒,さむ、さむい、かん
銭,ぜに、せん
己,おのれ、こ、き
昼,ひる、ちゅう
窓,まど、そう
欠,か、かける、かく、かかす、けつ
築,きず、きずく、ちく
刺,さ、さす、ささる、さし、し
操,みさお、あやつ、あやつる、そう
牛,うし、ぎゅう
益,、えき、やく
妹,いもうと、まい
絡,から、からむ、からまる、からめる、らく
抗,、こう
閣,、かく
庁,、ちょう
針,はり、しん
怒,いか、おこ、いかる、おこる、ど
怖,こわ、こわい、こわがる、ふ
床,とこ、ゆか、しょう
即,すなわ、すなわち、そく
批,、ひ
燃,も、もえる、もやす、もす、ねん
勇,いさ、いさむ、いさましい、ゆう
吸,す、すう、きゅう
責,せ、せめる、せき
桜,さくら、おう
箱,はこ、
詳,くわ、くわしい、しょう
昇,のぼ、のぼる、しょう
胸,むね、むな、きょう
免,まぬか、まぬかれる、めん
採,と、とる、さい
袋,ふくろ、たい
易,やさ、やさしい、やすい、えき、い
測,はか、はかる、そく
則,、そく
績,、せき
複,、ふく
届,とど、とどく、とどける、
輩,、はい
歯,は、し
濃,こ、こい、こさ、のう
討,う、うつ、とう
泊,とまる、とめる、はく
菜,な、さい
層,、そう
臣,、しん、じん
虫,むし、ちゅう
詰,つ、つめる、つまる、つむ、きつ
況,、きょう
概,、がい
枝,えだ、し
煙,けむ、けむる、けむい、けむり、えん
洗,あらう、あら、せん
塩,しお、えん
療,、りょう
紹,、しょう
憲,、けん
詩,、し
耳,みみ、じ
臨,のぞ、のぞむ、りん
簡,、かん
脳,、のう
宣,、せん
敬,うやまう、うやまい、うやま、けい
芝,しば、
誤,あやま、あやまる、あやまり、ご
詞,、し
湖,みずうみ、こ
灯,ひ、とう
童,わらべ、どう
貨,、か
秒,、びょう
占,し、うらな、しめる、うらなう、せん
稲,いね、いな、とう
幅,はば、ふく
薄,うす、うすい、うすめる、うすまる、うすらぐ、うすれる、はす
署,、しょ
盗,ぬす、ぬすむ、ぬすみ、とう
晩,、ばん
借,か、かりる、しゃく
幼,おさない、よう
昔,むかし、せき、しゃく
齢,、れい
涙,なみだ、るい
紅,べに、くれない、こう、く
毒,、どく
祖,、そ
緑,みどり、りょく、ろく
乳,ちち、ち、にゅう
奏,かな、かなでる、そう
潮,しお、ちょう
仁,、じん、にん
宙,、ちゅう
埋,う、うめる、うまる、うもれる、まい
尊,たっとい、たっとぶ、とうとい、とうとぶ、たっと、とうと、そん
鏡,かがみ、きょう
猫,ねこ、びょう
刊,、かん
損,そこ、そこねる、そこなう、そん
哲,、てつ
誕,、たん
包,つつ、つつむ、つつみ、ほう
俳,、はい
緊,、きん
範,、はん
豆,まめ、とう、ず
刀,かたな、とう
疲,つか、つかれる、つかれ、ひ
律,、りつ、りち
翌,、よく
均,、きん
才,、さい
籍,、せき
販,、はん
牧,まき、ぼく
忠,、ちゅう
甘,あま、あまい、あまさ、あまえる、あまえ、あまやかす、かん
勉,、べん
腰,こし、よう
驚,おどろ、おどろく、おどろかす、きょう
肩,かた、けん
捜,さが、さがす、そう
往,、おう
咲,さ、さく、
沈,しず、しずむ、しずめる、ちん
句,、く
祝,いわ、いわう、いわい、しゅく、しゅう
捨,す、すてる、しゃ
騒,さわ、さわぐ、さわぎ、さわがす、さわがしい、そう
鼻,はな、び
漢,、かん
皮,かわ、ひ
伏,ふ、ふせる、ふす、ふく
浴,あ、あびる、あびせる、よく
誠,まこと、せい
盟,、めい
傾,かたむ、かし、かたむける、かたむく、かしげる、けい
勧,すす、すすめる、かん
看,、かん
曇,くも、くもる、くもり、どん
穴,あな、けつ
縮,ちぢ、ちぢむ、ちぢまる、ちぢめる、ちぢれる、ちぢらす、しゅく
欧,、おう
封,、ふう、ほう
邪,、じゃ
票,、ひょう
干,ほ、ひ、ほす、ほし、ひる、かん
辛,から、からい、からさ、しん
招,まね、まねく、まねき、しょう
卓,、たく
輸,、ゆ
踊,おど、おどる、おどり、よう
柔,やわ、やわらかい、やわな、じゅう、にゅう
珍,めずら、めずらしい、ちん
訓,、くん
沿,そ、そう、えん
億,、おく
乾,かわ、かわく、かわき、かわかす、かん
糸,いと、し
副,、ふく
狂,くる、くるう、くるおしい、くるわす、くるわせる、きょう
氷,こおり、ひ、ひょう
棒,、ぼう
双,ふた、そう
汚,けが、よご、きたな、けがす、けがれる、けがらわしい、よごす、よごれる、きたない、お
悩,なや、なやむ、なやみ、なやます、のう
旗,はた、き
賛,、さん
趣,おもむき、しゅ
湾,、わん
軒,のき、けん
努,つと、つとめる、つとめて、ど
孫,まご、そん
唱,とな、となえる、しょう
拝,おが、おがむ、はい
慣,なれる、ならす、な、かん
揮,、き
郵,、ゆう
暇,ひま、か
抑,おさえる、おさ、よく
貸,か、かす、かし、たい
募,つのる、ぼ
狭,せま、せまい、せば、せばめる、せばまる、きょう
墓,はか、ぼ
刷,す、する、さつ
貧,まず、まずしい、まずしさ、ひん、びん
漁,、ぎょ、りょう
較,、かく
悟,さと、さとる、さとり、ご
液,、えき
叫,さけ、さけぶ、きょう
幾,いく、いくつ、いくら、き
炭,すみ、たん
祈,いの、いのる、いのり、き
酸,す、すい、さん
縦,たて、じゅう
患,わずら、わずらう、かん
券,、けん
渉,、しょう
柱,はしら、ちゅう
帳,、ちょう
偶,、ぐう
恥,は、はじ、はじらう、はじらい、はじる、はずかしい、ち
泳,およ、およぐ、およぎ、えい
塗,ぬ、ぬる、ぬり、と
械,、かい
菓,、か
飼,か、かう、し
賢,かしこ、かしこい、けん
塔,、とう
序,、じょ
涼,すず、すずしい、すずむ、りょう
磨,みが、みがく、ま
臓,、ぞう
焦,こ、こげる、こがす、こがれる、あせ、あせる、あせり、しょう
掃,は、はく、そう
征,、せい
巣,す、そう
暑,あつ、あつい、あつさ、しょ
靴,くつ、か
掘,ほ、ほる、くつ
控,ひか、ひかえる、ひかえ、こう
粉,こ、こな、ふん
礎,いしずえ、そ
匹,ひき、ひつ
賃,、ちん
恩,、おん
麦,むぎ、ばく
駐,、ちゅう
喫,、きつ
堅,かた、かたい、かたさ、けん
偉,えら、えらい、い
姓,、せい、しょう
抵,、てい
朗,ほが、ほがらかな、ろう
寸,、すん
卵,たまご、らん
雇,やと、やとう、こ
帽,、ぼう
暖,あたた、あたたかい、あたたまる、あたためる、だん
垂,た、たれる、たらす、たれ、すい
蒸,む、むす、むれる、むらす、じょう
径,、けい
誇,ほこ、ほこる、ほこり、こ
熟,う、うれる、じゅく
銅,、どう
汗,あせ、かん
筒,つつ、とう
舟,ふね、ふな、しゅう
贈,おく、おくる、ぞう、そう
泥,どろ、でい
冒,おか、おかす、ぼう
預,あず、あずける、あずかる、よ
湿,しめ、しめる、しめす、しつ
灰,はい、かい
召,め、めす、しょう
冊,、さつ、さく
隅,すみ、ぐう
奮,ふる、ふるう、ふん
肌,はだ、
肥,こ、こえ、こえる、こやす、こやし、ひ
符,、ふ
舌,した、ぜつ
拾,ひろ、ひろう、しゅう、じゅう
脈,、みゃく
貯,、ちょ
貝,かい、
忙,いそが、いそがしい、ぼう
弓,ゆみ、きゅう
乏,とぼ、とぼしい、とぼしさ、ぼう
硬,かた、かたい、こう
鋭,するど、するどい、えい
憎,にく、にくむ、にくい、にくらしい、にくしみ、ぞう
豚,ぶた、とん
汽,、き
畳,たた、たたむ、たたみ、じょう
糖,、とう
凍,こ、こおる、こご、こごえる、とう
尺,、しゃく
溶,と、とける、とかす、とく、よう
笛,ふえ、てき
畜,、ちく
飽,あ、あきる、あかす、ほう
耕,たがや、たがやす、こう
綿,わた、めん
粒,つぶ、りゅう
郊,、こう
芽,め、が
敢,、かん
偏,かたよ、かたよる、かたより、へん
兆,きざ、きざす、きざし、ちょう
羊,ひつじ、よう
鉱,、こう
脂,あぶら、し
瓶,、びん
皿,さら、
后,、こう
潔,いさぎよ、いさぎよい、けつ
枯,か、かれる、からす、こ
机,つくえ、き
奨,、しょう
胃,、い
挟,はさ、はさむ、はさまる、きょう
隻,、せき
軟,やわ、やわらかい、なん
磁,、じ
辱,はずかし、はずかしめ、はずかしめる、じょく
膚,、ふ
肺,、はい
絹,きぬ、けん
寮,、りょう
班,、はん
燥,、そう
腸,、ちょう
冗,、じょう
鋼,はがね、こう
貿,、ぼう
零,、れい
俵,たわら、ひょう
伺,うかがう、うかがい、うかが、し
鈍,にぶ、にぶい、にぶる、どん
缶,、かん
穀,、こく
沸,わ、わく、わかす、ふつ
濯,、たく
滴,しずく、したた、したたる、てき
肯,、こう
侮,あなど、あなどる、ぶ
陛,、へい
穫,、かく
蚕,かいこ、さん
